Location,OriginalTweet,Sentiment
London | New York | Munich,"""I already stocked up on food. Ammo was just the next step."" 

Sorry America, you can't shoot your way out of #coronavirus 

https://t.co/VnVJKDkBxM",Negative
"West Hollywood, CA","Why dont we make most grocery stores pickup only for the next few weeks? Would reduce crowding, panic buying, contamination, strain on workers. @Google could help build an app in a day. Open each store for 2 hrs for seniors who might be less tech savvy. #COVID2019 #Coronavirus",Negative
"Fujairah, UAE.","Joining hands with the UAE's efforts to contain the spread of the coronavirus (COVID-19) and considering the well-being of our mall visitors and community, gym, play areas &amp; amusement centres will stay closed.

LuLu Hypermarket and other stores are operating in routine. https://t.co/SVOTBu6ZNu",Extremely Positive
OnTheEdgeSEMelbourne,Given restrictions around COVID 19 FIC will be postponed til 17 18 Nov Interest in food security is increasing amp we ll be meeting the demand for thought provoking discussions examining food issues experienced during the epidemic amp those we re likely to experience going forward,Positive
somewhere windy,When people that were out here not taking COVID-19 serious get stuck indoors with no food because they decided it wasnt necessary to stock up &gt;&gt;&gt;&gt; ????,Positive
"Las Vegas, NV","@SarahHollenbeck @MyClearwater @abcactionnews But I kept hearing it was all the #boomers gonna travel on ""cheap flights"" and infect y'all. Meanwhile majority of Boomers are hunkered down at home afraid to go to grocery store! 
#COVID2019 
#SocialDista",Neutral
Commonwealth of Massachusetts,"&gt;@MassGovernor announces $10M loan fund administered by @MassGCC to provide financial relief up to $75k to MA-based businesses, including nonprofits, with &lt;50 full- &amp; part-time employees impacted by #COVID19. #MAbiz

Release: https://t.co/nxrDH25i8r
Apply: https://t.co/w2VJdOwRcg https://t.co/sP6sTraxLQ",Extremely Positive
"Dallas, TX","All the pasta, pasta sauce and pizza were sold out at the grocery store. Did everyone in Dallas become Italian grandmas? #Dallas #coronapocolypse #COVID2019",Neutral
USA,"DO NOT PANIC. DO NOT FEAR. 
Fear Is the Mind Killer
The pres. is WORKING WITH the private sector to ensure EVERYONE has access to food &amp; supplies. Turn off the CNN.
Resist herd mentality.
#CoronavirusPandemic #coronavirus #coronapocolypse 
(hea!th) 
https://t.co/1Hw3xzvkS5",Extremely Positive
"Cambridge, MA",Our retail store will be closed through the end of March. We are doing this to keep our staff and customers safe during the COVID-19 crisis. We WILL continue to fulfill and ship out orders placed online. Pickups will not be available until we return to regular hours. https://t.co/h1DQBiPbuB,Positive
USA,@drsanjaygupta @JohnBerman @NewDay all major businesses Trump touted saying they have supplies. Not really. Online ordering=no critical supplies avail. Online shopping is best for #SocialDistancing. Need help in that arena. Supplies via online. #coronavir,Positive
,"Hearing from multiple sources that a mandatory quarantine is coming this week for US citizens. 

Last chance to stock up on food &amp; supplies. 

Take this as a warning before its too late! 

#CoronaVirusUpdates #CoronaVirus",Neutral
"Arenys de Mar, Països Catalans","Stock Drops Amid the COVID-19 Outbreak  Here's the latest on the extent of the damage for the share prices for several key companies in «IT, Tech &amp; Media», «Auto &amp; Transportation», «Travel, Retail &amp; Consumer Goods», and «Banking &amp; Finances». Opportunities for investing!
#COVID19 https://t.co/TpNFuLALld",Positive
,A lot of us are going into self isolation this week. I thought this was a useful article on staying sane and happy. #covid?19 https://t.co/aQ5D8kPee9,Positive
Malaysia,"Panic buying in Malaysia escalated today following rumours of an impending lockdown.

The Ministry of Domestic Trade and Consumer Affairs have warned people not to spread fake news on Covid-19.

(?: Farhan Yusoff &amp; Shafwan Zaidon)
#covid19 #panic #buying #groceries https://t.co/DDHeM1TGvW",Negative
,"With the increasingly global spread of COVID-19, the masses are beginning to panic and grocery stores are becoming increasingly chaotic. The animalistic nature of survival has kicked in and individuals are starting to hoard supplies.

#cct320

https://t.co/yQvCkAz4r4",Extremely Negative
,"Its Panic Foraging or Street Food  - Saffron Flapjack, The Nose's Food and Drink writer has more than usual to say, and includes a recipe

#manchestereveningnose #saffronflapjack #panicforage #panicforaging #covid19 #coronavirus https://t.co/4h4lh9UCl5 https://t.co/2RGz7cv5TG",Negative
"Virginia, USA",An important update for our fans regarding COVID-19 and our retail store in Occoquan. #mandrilltoys #covid19 #coronavirus https://t.co/oPBmwc1qI1,Positive
"Arlington, VA","Pregnant women should make sure their vaccinations are up to date, wash their hands frequently, stay away from people who are coughing, &amp; protect their health in other common-sense ways. - @DrGuptaMD, March of Dimes Chief Medical &amp; Health Officer. #covid19 https://t.co/BVNdOjRZzl",Positive
"Arizona, USA",How about free delivery and no service fee for seniors ordering online?&gt;&gt;&gt;&gt;&gt;&gt; La Habra supermarket offers special hours for shoppers 65 and older amid COVID-19 crisis https://t.co/4wQE7vzr3M,Extremely Positive
"Bowie, MD","Next time you go to the grocery store, purchase food from the colors of the rainbow. Boost your #immunesystem 
? FOOD IS MEDICINE ? #immunesupport fight the #coronavirus #covid_19 https://t.co/1oXK9TGZFm",Neutral
,Staying in due to the coronavirus?  Here's what to stock in your fridge and pantry Staying in due to the coronavirus?  Here's what to stock in your fridge and pantry #Food #coronavirus #foodshortage #foodsecurity #Stockpile     https://t.co/dPKEeIeQJq https://t.co/lGKg1wYzKg,Neutral
Deep in the Wildernes,"@MarkHoplamazian Your letter 3/13/20 was just sad.  Your Hotel's response to covid-19 has been the worst of any vendor associated with @marchmadness No fault of the consumer, yet a room costing $2,230.58 for 4 nights, you're willing to offer 10,000 hyatt ",Extremely Negative
Maidenhead,"Due to the #coronavirus

Panic buying has gone to new levels 

?In the USA they are buying guns to protect themselves
?In France, they are buying Pasta to ensure they have enough food 
?In the U.K. we are buying toilet rolls to ensure we can keep taking a sh*t

#coronavirusuk",Positive
"Montreal, QC","#Fashions #Coronavirus Collapse:
#Travel, #stockmarkets, #economic outlooks  theyre all slipping as #governments and #businesses try to get a handle on #COVID-19.
https://t.co/vEn6Jrz7mq #retail #apparel #socialdistancing #store #closures #revenues",Negative
"Montreal, QC",#Ulta temporarily shuts down in-#store #services amid #coronavirus fears https://t.co/uPEcwUXjz5 via @RetailDive #retail #brickandmortar #cosmetics #pandemic #COVID-19,Negative
"Townsend, TN",There will be casualties Retail store closures in the US could explode because of the from,Neutral
"South West, England","To 'The Stock Pilers'.. I hope you drop every fucking bog roll down the toilet, I hope all the food you bought goes off, I hope you eat that gone off food and get sick with something 10 times worse than #coronavirus . You selfish pricks. #coronapocolypse #COVID_19uk #shopping",Negative
Kelowna BC Tel Aviv Israel,"Meanwhile In #Canada, Couple Cleans Out Entire #Meat Section Of Store! https://t.co/T897aWGGvk via @YouTube #hoarding   #coronavirus #nomestleft
#nofood
#canada
#panic",Neutral
Nairobi,"@HeriOnlineS is with you in the fight against COVID 19 infection,

We believe in social distancing  to avoid contact.

Heri ensures you don't have to worry about your shopping do it from your safest space and we shall deliver 

https://t.co/Dm",Extremely Negative
,The whole store was ransacked. Thank you to all the retail workers. Can't imagine the craziness you have to deal with right now. #coronavirus #panicshopping #RetailWorkers https://t.co/ovnQp051VW,Neutral
NoVA,"Since my kid (a high schooler, btw) who is a grocery store cashier is apparently a critical infrastructure employee all of a sudden, it would be nice if the pay reflected that risk. #Covid_19",Negative
London,UK consumers are already making small but significant changes to how they socialise and shop in response to #covid19. Full 1000-person survey results by @RetailX: https://t.co/MfRr4JVcD8 #covid19 #shopping #ecommerce #retail #socialdistance #socialdistance #socialising #uk https://t.co/FYHzGPUm6q,Positive
"Portland, OR",This is just a way to spread mass hysteria and panic and is what leads to people buying out the shelves and causing shortages. The National Guard wont be placing a military lockdown. Should you have some extra food and supplies just in case the stores get raided? Yes. #COVID2019,Negative
,"If you find yourself needing work, food delivery driver seems like it is going to be in high demand, considering all the states banning dinning out. #coronapocolypse #coronavirus #StayHome",Positive
"Buffalo, NY",(1/2) Shame on @news4buffalo and @ChrisHorvatits4 for the their leading story of a Tops employee having COVID-19. The way the story lead in heavily implied a supermarket worker when it was in fact a corporate employee who had no interaction in a store with the general public.,Negative
"Jackson Heights, NY","#DTC brands have been looking toward brick and mortar #stores as a way to facilitate growth, but because of #coronavirus, thats changing - https://t.co/5vufzrkiJg",Positive
,@NEWS1130 One question I have. What happens now since most of the manufactures have closed down their plants during Covid 19 shutdowns and many aren't making any food in plants during the shut down. How will grocery stores get new stock ??,Neutral
South Africa,Nothing beats classic food on wheels. You can now get the Big Mac Meal from McDonalds for only R30 when you order via UberEats App ? Promo Code: BIGMACZA. T&amp;Cs Apply.,Neutral
"Missouri, USA","Hyvee always thanks its shoppers for shopping. Hyvee, Sunday, March, 15, 2020, in Blue Springs, Missouri. However, as COVID-19 develops will shoppers begin to take advantage of online and delivery forms of obtaining their every day needs? https://t.co/yKgrv3vBPQ",Positive
,@ASDA @Tesco @Morrisons @sainsburys dont you think its about time you reduce your minimum online shopping basket from £40 as you dont have the product in stock that people need. I think you forgot about us single disabled people. Put your customers,Neutral
,Wish I was physic so I could have predicted how much sanitizer and toilet paper I would need before this got real.  #stopPanicBuying #coronavirus,Positive
"Toronto, Ontario","Between US air strikes and the #COVID_19 crisis, the Iraqi government may find itself dealing with its greatest governance challenge since the 2014 ISIS invasion. @MiddleEastEye https://t.co/DVthW3RTRj",Negative
ISB || DXB || HANOVER || MAN ,"@dcislamabad D.WATSON F10! They are selling masks on high prices and not providing any bill/receipt.
#coronavirusinpakistan #CoronavirusOutbreak #COVID2019",Neutral
"Florida, USA",No toilet paper at my local grocery store for almost a week now?!! What is the real crisis in south Florida ?  #toiletpaper? Or the #coronavirus? https://t.co/PPlOCvB8To,Extremely Negative
"California, USA",With the Coronavirus going out and shopping for groceries might not be the best Check out this list of great online alternatives that deliver right to your door,Positive
"San Diego, CA","What's a good way to support grocery store, medical, and hospital staff during this time? I would normally think of something along the lines of ordering everyone pizza, but that doesn't seem like a great idea about now... #COVID2019 #COVID19 #COVID?19",Extremely Positive
Global newsroom,The rapid spread of #COVID19 leaves the fate of many announced consumer #MnA deals in jeopardy as the public markets fluctuate and consumers are encouraged to avoid places of public gathering. https://t.co/fNktRdwDp0,Negative
,"@AirenAngel_10 madam baka di nyo naranasan ang ""no work no pay"" or isang kahig isang tuka, thats why someone still trying to go to work. Realizing not all can have at least one week of food stock. Hoping covid-19 will leave our country...",Negative
Right behind you :),Please read this thread,Positive
An Uber Away,"Given the self centred &amp; aggressive behaviour seen in the streets and grocery store aisles of Australia, Im thrilled were not at war or under immediate threat.

Peoples true selves emerge in times of stress &amp; pressure failing my previous lax standards

#CoronaVirus #COVID19Aus",Negative
Peterborough,"Well now im actually starting to worry! Online food shop... Nothing is in stock. 

Bread ?
Pasta ?
Fruit ?
Veg ?
Milk ?

What the hell we going to eat!? So far I have some cheese and coffee! #coronavirus #coronapocolypse",Extremely Negative
"Chicago, IL","Good read for those worried about or participating in grocery store runs during #coronavirus. In an era of lean, it's difficult to accommodate huge discrete surges in demand at stores, but the supply chain is still strong. via @nytimes :  https://t.co/6Tt8TQL1SD",Extremely Positive
Chicago,"In an unprecedented move for US retailers, many are opting to indefinitely shut their doors to prevent the spread of the novel #coronavirus in the US. Others like Walmart are reducing their hours. #retail  https://t.co/6S6KGQbT6B",Positive
"Orlando, Fl",FL Agriculture Commissioner and the FL Dept of Agriculture &amp; Consumer Svcs announced theyve activated their Summer BreakSpot website where families can find free meals for children under 18 during the Corona virus closures. https://t.co/ASA2GrkFKr #CoronaVirus #COVID19 https://t.co/IqwHVHO20f,Positive
New York City - Philippines,Just got home from the supermarket. Panic buying is real. And it was in the middle of the afternoon. Bet the queues will be longer after work hours ? #COVID2019 #COVID?19,Negative
"LDN, CHI, SHG & worldwide","Learn how US consumers and industries including food and drink, beauty, retail, and health and wellness are reacting to the #COVID19 pandemic: https://t.co/0CScQX1NZ5 #marketresearch #consumerinsights",Extremely Positive
"Nairobi, Kenya",please help us stock some food coz we are in danger of this near by crisis of covid 19 which is now in our neighbouring country Kenya though we are just requesting to anyone who can manage to help us with anything small coz we want to stock food at the orphanage,Negative
out of this world,"Told my employer I wasnt going to work tonight because I didnt want to risk bringing COVID-19 home to my family.
I work in a retail store that isnt taking precautions and has customers coming from areas with confirmed cases.

Employer said: We need you, were short tonight.",Negative
"London, England","#French President Emmanuel Macron has imposed a two-week lockdown, declaring a war on #coronavirus; cancelled municipal elections,,citizens have been ordered to stay home and will only be allowed out for essential duties such as trips to the grocery store or pharmacy!  ?",Extremely Negative
Dublin-Gray-Gordon-Houston Co-Statesboro-Brooklet,"Tips to Stay Fraud Free During COVID-19 Attempts! 

For more information from the Federal Trade Commission, visit https://t.co/Kr5zTEJFgG https://t.co/SMivHMt66m",Negative
"Mojave Desert, United States","Since I am not religious anything, going to the supermarket is like finding out who's God's children.  

The children clearing out the water and toilet paper off every shelf in a COVID-19 world.  

It's like they want to kill the rest of us.  

They're winning the Hunger Games.",Positive
"Mojave Desert, United States","Going to the supermarket means being vulnerable to crowds of over 50 to 200 people.

Trendies going to Costco and Sam's Club places is going to multiply that by a lot more.  

This is a COVID-19 megachurch zombie shopping panic. 

They're allowed to shop, don't care if you die.",Extremely Negative
"Sandy, UT","Mountain America members, if you've been financially impacted by COVID-19, @mountainamericacu may have loan relief options to help you with your unique situation. Visit https://t.co/zXGHDe3rTx to learn more. https://t.co/vbBEdG864U",Extremely Positive
"Granby, Colorado","MPE prepared to continue providing safe and reliable electric service, adopts COVID-19 consumer and employee safety measures. READ MORE: https://t.co/eXnYpE4gEx https://t.co/GnjqUgg05t",Extremely Positive
Lurking,Binge shopping online #QuarantineLife #coronavirus,Neutral
Toronto,For a long time we could only dream of what Reid s Distillery would look like It s hard to overstate the impact of COVID 19 on us and all the other small businesses The best ways to support is to enjoy Reid s Gin at home Our retail store is now open everyday 11AM 11PM,Extremely Positive
Italy,5 ways coronavirus is changing millennials' money habits more than any other generation https://t.co/7H1zK1rrCX noi paghiamo con carta credito o con #satispay #coronavirus  (molti acquisti online),Neutral
"Arizona, USA","Im getting personal... Im not one to allow this #coronavirus hysteria panic or change my home life. So I went to the grocery store to do my normal shopping and Im beyond disappointed in humanity.

Please stop and think.",Extremely Negative
"Fairfax, Virginia","""The panic shopping for #coronavirus planning doesnt end with food, water and toilet paper. Some consumers are also panic shopping for life insurance.""

#StayInformed #StayConnected #NAILBA2020

https://t.co/maT278EOxx",Extremely Negative
,@no_silenced  hello brother's and sister's let's connect hands and support those children's stock food at the orphanage mainly because we are afraid of the covid 19 crisis which is taking place on our neighbouring countries Kenya and DRC Congo please help,Positive
"New York, NY",Social distancing to prevent the spread of coronavirus could have devastating effect on people with depression. https://t.co/rlJ1MaaxgI,Extremely Negative
Australia,"Woolworths to give elderly, disabled dedicated shopping hours amid COVID-19 outbreak #COVID?19 #coronavirus #zakat https://t.co/lPSQj06t3T",Positive
Sydney,"A man yelled at me at the supermarket today for buying yucky garlic from China and not Australian garlic. 

Soo... hes a xenophobe who either really loves Australian commerce or think covid 19 is spread through garlic?",Positive
"Lahore, Pakistan","Due to fear of #COVID2019 people have started hoarding items of daily use. This will impact the regular level of supply in markets , if these commodities will disappear from markets it will create shortage and prices will go up. Then people will start cursing government.",Extremely Negative
"Los Angeles, CA",Northgate Market is allowing Seniors to shop first before they open to the public! Details here! --&gt; https://t.co/SP21HGAlpY https://t.co/kjzApOAFJ2,Positive
"Melbourne, FL","people are dying from covid-19 but people will also be dying when they cant afford where they live and when they cant afford food for their children, let alone themselves. People deserve to be able to not panic at the thought of the nation going to shit. People deserve to live.",Negative
"Vail, CO","Apparently everyone else feels the same way I do about Daves Killer Bread... ?

#bread #coronavirus #covid-19 #stockup #davesbread https://t.co/Fz1EorNgHS https://t.co/vWQgAOv2vw",Extremely Negative
,"Korea - 8200++ Covid-19 cases 
Malaysia - 550++ Covid-19 cases 

yet, Korea's supermarket never out of stock while Malaysia.....empty shelf here and there. The government should totally consider on limiting some necessity goods to every consumer in the market.",Negative
Shanghai,".#Amazon says the #coronavirus outbreak has caused a surge in online shopping, and now the online giant is adding 100,000 new full-time and part-time positions across the United States to keep up with the demand, reported CNN. https://t.co/qUggNX1ldf",Positive
"Orange County, CA",Consumer response to #cannabisindustry during #covid-19. Most importantly there is a prioritizing of medical marijuana patients https://t.co/7DnW0vZeya,Positive
"Kuala Lumpur City, Kuala Lumpu",Got to the grocery store amp had to call my wife Which bread did you want me to grab,Positive
"Rangia, Assam, India","What #CONVID19 safety measures r being taken by online shopping companies &amp; their courier partners @amazonIN @Flipkart etc?
 I fear that shopping packages which travel vast distances through flights/trains &amp; r handled by many along d way can b potential #coronavirus carriers??",Negative
"Media City, Salford","To the shops hiking up prices shame on you! I don't mean people cashing in on eBay etc I mean actual local shops increasing prices of meat, rice etc..I thought we were all trying to get through this together?! Ridiculous ? #coronavirus",Extremely Negative
"Gombak,Selangor","https://t.co/UpjxfOgQs8

Gaisss! Please read this,and please limit yourself to go outside and please,please..always wash your hands,always use the hand sanitizer. 

And please get ready to stock up the food.",Extremely Positive
,"COVID-19 is impacting supply chain, trade, the workforce and so much more. Check out our @PwC guide on what business leaders should know. Find it here: https://t.co/8LJ4aXcZcg https://t.co/NDKIeakYp2",Neutral
,"For the love people 
If you have to return something to a store. Please let it wait for after the #coronavirus . retail stores are barely making it as it is, please don't add to the stress of the managers by returning everything in this troubling time",Positive
"Princeton, NJ","We'll be tracking the effect of #coronavirus on the #retail industry every step of the way. Read our first #COVID19 blog and stay tuned for updates every Monday, Wednesday, and Friday! https://t.co/QxVKFGS4th #DigitalMarketing",Neutral
"Orlando, FL",Consumer Alert: Be aware of bogus COVID-19 home test kits - https://t.co/LiDFrOXWzL #COVID19 #Coronavirus #news965 #wdbo https://t.co/VdHP3oJg0z,Positive
On Your Timeline,"@Amazon says it needs to hire 100,000 people across the U.S. to keep up with a crush of orders as the #coronavirus spreads and keeps more people at home, shopping online. https://t.co/YE2DB6demN (via@ABC) #jobs #hiring",Negative
Global,"Covid-19:  No need for panic buying, food available at all times  PM assures - https://t.co/Aw9tEk4hgm https://t.co/loCVUacyDO",Negative
"San Francisco, CA","#stopthespread ""Research has shown that the faster authorities moved to implement the kinds of #socialdistancing measures designed to slow the transmission of disease, the more lives were saved."" Great read via @NPR ?? https://t.co/0QcNWNSwgm",Extremely Positive
"Denver, CO","It amazes me...I go to the supermarket and everything is gone, people are panic buying, yet not one single person was wearing a facemask. Buying 200 rolls of toilet paper won't prevent you from catching #COVID2019. Take proper precautions and stay safe. https://t.co/lNoF0xfsx4",Extremely Positive
"Tara Hills, CA",Most of us will get covid-19 in a supermarket. #letspanic,Neutral
Tennessee ,Going to the grocery store made me panic more than anything. The scarcity of resources. We do not need to hoard food like this. I saw a woman with 9 gallons of milk in her buggy. The eggs were gone. Bread aisle was demolished. #CoronavirusOutbreak #coronavirus #coronapocolypse,Negative
"16 Greevegate, Hunstanton","This is worth reading! Hopefully if nothing else the public might wish to consider shopping more locally in the future. That is of course if shops like us survive! 
https://t.co/Cn9o6qkZFo",Extremely Positive
"North Wales, UK","Needless to say, this caused some strong feelings ? #coronavirus #covid19 #supermarkets #food #shopping https://t.co/Zo5aG4jSHQ",Positive
,"San Francsisco mayor London Breed is about to announce a lockdown that will last until April 7
People will not be allowed to leave home after midnight on Tuesday for anything but doctors visits or grocery store shops 
https://t.co/zQu0sH8JKB
#Q22 #CoronaVirus",Neutral
"New York, NY","COVID-19 pandemic and plunging global financial markets drove consumer confidence today to two-year low, according to @MorningConsult survey https://t.co/L3qCsEzXAA https://t.co/C5BUrZIZun",Positive
"California, USA","Apple has closed all retail locations outside China until March 27th, but has reopened all 42 Apple Store locations within greater China

https://t.co/I0m2kxnkY3

#Apple #retail #AppleStore #coronavirus #health #closing #quarantine #China #GreaterChina",Positive
,"COVID-19: No Need For Panic Buying, Food Available At All Times - PM Assures https://t.co/K2ECAO51yA",Negative
"Vail, CO",A full grown ass woman! My county has the highest number of #coronavirus cases in Colorado.......and as a grocery store employee I HAVE TO come into work. I cant afford to take time off....my store isnt even reducing hours...so please! If you dont feel well or theres no,Negative
UK,"Loving how quiet the Tube is atm. COVID-19 is terrible yes, but I now get a fantastic level of consumer utility for my £2.50 tube ticket.",Extremely Positive
"Chicago, IL",On #OWHealth: Times of turmoil allow for the formation of deeper relationships between insurers and members and society at large &gt; https://t.co/531eBvhnPR #OWCovid19 #COVID19 #coronavirus https://t.co/w8Hfv7YsBX,Positive
"Bhubaneshwar, India","The Food Supplies and Consumer Welfare department of the Odisha government is taking effective steps to prevent black marketing and hoarding of protective masks and hand sanitizers in the State.
#Odisha #OdishaNews #OmmcomNews https://t.co/VBIqm3zp1Q",Extremely Positive
"Portland, Ore.","Oregon Gov. Kate Brown on Monday afternoon ordered Oregon restaurants and bars to stop all on-site dining and limit sales to takeout and delivery.
https://t.co/WR6l3TK0wp",Negative
Belgium,#Coronavirus - #Europe calls for calm as food shortage fears spark panic buying https://t.co/8XgRaLdEs5,Negative
Yorkshire,"When even Amazon is struggling to deliver food you know the stockpiling muppets are panic buying again.

#coronavirus #Yorkshire #UK https://t.co/Il6zWAyD6e",Extremely Negative
"Washington, D.C.","Anthony Fauci said that while some people may perceive the new coronavirus guidelines as inconvenient or going too far, they reflect a deteriorating assessment of the containment efforts and should be taken seriously.

""It isnt an overreaction
https://t.co/gp65SNkBiw https://t.co/oPNIGTT6Zt",Negative
"Washington, D.C.","BREAKING: The Centers for Disease Control recommended that Americans cancel or postpone gatherings of 50 or more people for the next eight weeks.

It's the most aggressive federal guidance issued yet in response to the coronavirus outbreak 
https://t.co/JWrEOWLadW",Negative
,"In #Iran,prisoners were released in view of #coronavirus.In #Italy prisoners created a nuisance &amp; even burnt a prison cell after the news of a suspect of #COVID2019 in the prison.Whereas in #India,prisoners are making face masks &amp; selling them at extremely low prices.
#Bharat",Extremely Negative
Australia,"We've updated our COVID-19 info page, including links to the latest DHS and NDIA updates, plus what we currently know about supermarket rule changes.

https://t.co/ugWNwcHnFy",Neutral
"Boston, MA","PYMNTS surveyed 2K consumers about how COVID-19 has already changed their daily lives. @karenmpd dives into the results: https://t.co/og7fp8IEIY 

#coronavirus #covid19 https://t.co/DPikTnl6Xj",Neutral
"Washington, DC","People arent worried about ventilators we are worried about losing income, our homes, food, our LIVES! Stop bailing businesses out, who cares about the stock market in these times.. take care of our people. #Coronavirus",Negative
South Africa ??,"Grocery store employees are extremely vulnerable to contracting #coronavirus.Just by virtue of being exposed to oncoming excessive #panicshopping crowds .  

Markets should consider maximizing self-check stations to reduce employee exposure.
#Makro #SelfQuarantine #Covid_19 https://t.co/1VafJCUMtf",Positive
"Sunnyvale, CA","? Consumer Reports suggests stocking up on 90+ days of your most important medication. Are you stocked up on your birth control? ? 

https://t.co/i4vHXhzuK6",Positive
"Windsor, Ontario","Consumers are on shaky ground as business grinds down because of COVID 19. We'll hear about consumer confidence from @shellykhagan . 
Listen here at 2:20  
https://t.co/IAYoLhtaZG",Positive
"Manchester, UK","Just been to the supermarket, absolute chaos. No toilet rolls, hardly any paracetamol, massive queues for all the tills.

If I snuff it as a result of COVID-19 I'm going to come back and haunt everyone who stockpiled.",Extremely Negative
Dja Dja Warrung Land,"Quick question! How do you self-isolate if youre homeless?

Answer: you cant. You also cant go to the usual places for free meals, social support, etc, because theyre closing or offering limited services. 

Sucks to be homeless at any time. Sucks really hard now.",Negative
"Newcastle Upon Tyne, England","Really, really worried about how many little kids will go seriously hungry due to #coronavirus #COVID19 

The only meals some kids get are at school. They could be seriously hungry for weeks when they close

Especially also as stockpiling is denying food banks normal stock",Extremely Negative
castleford,#COVID_19 #covid?19uk #QuarantineLife I have pre existing medical condition so I should isolate for 12 weeks but wife works at supermarket. How's that work.,Negative
"Haedo, Bs. As., Argentina",Supermarket workers   homecare workers   postal workers   cleaning workers   Workers throughout services sectors now find themselves at the forefront of societies  efforts to contain the 19 pandemic We take a look at what measures are needed,Neutral
"England, Australia, USA",#Oliverscampaign #coronavirus What type of food are people stock piling in case of being isolated,Negative
,"I'm not going out shopping until all of this #Coronavirus has stopped.  Why are people fighting over food and loo rolls ?... I've just been staying in a lot then going for a short walk, knitting and shopping online...",Negative
"Boise, ID","Shit moms.. I just got done telling my kids how much fun were gonna have watching movies, playing outside, eating our stock pile of food for the next few weeks.. then I see yall talking about homeschool curriculum?? Is this what were doing??? y tho ? #covid19 #coronavirus",Positive
"Wicklow, Ireland",This is how #COVID19ireland is being monitored back home. Looks draconian but #igetit #coronavirus #StayTheFHome #SocialDistancing #COVID19 #SelfIsolation #StopTheSpread #StopPanicBuying https://t.co/7NhQ9d48vE,Neutral
"Helsinki, Finland",Supermarket scene - Posting in foreigners in Finland -group. #covid-19 https://t.co/aYDgVUAcUe,Neutral
127.255.255.255,RON 95 price GO DOWN diesel price GO DOWN when public transports such as trains buses teksi amp e hailing service prices GO DOWN in Malaysia year 2020,Neutral
"University Park, PA","To combat #coronavirus &amp; protect staff &amp; customers, the @psucreamery retail store is closed until further notice. With the #COVID19 situation evolving rapidly, a reopen date is uncertain but the Creamery aims to continue to sell via wholesale &amp; online https://t.co/0c35u3vqED",Negative
Maidenhead UK,@Jeremy_Hunt your public intervention on Covid 19 is not helping. You may disagree with the government's strategy but please do not actively campaign against the government. People are frightened. You are adding to their fears. That causes panic actions l,Extremely Negative
"Maryland, USA","#energytwitter Any takes on the impact of (1) oil price collapse; &amp; (2) fall in energy use from #Covid_19 on natural gas prices? Should we expect (a) over production and price drop, crushing coal use? or, (b) fall in production, price rise and shift to other fuels for power?",Negative
Denmark,Youre welcome! Now #StopHoarding #StopPanicBuying #StayAtHome and #StaySafe amid the #coronavirus #COVID19 #CoronaVirusUpdates https://t.co/T3nZULlQwn,Positive
,"The chief medical officer is currently telling Alan Jones on radio its stupid and silly people are buying two weeks worth of food. Perhaps, but he needs to tell the states, because at least one state government recommended exactly that! The inconsistency is gobsmacking ?",Positive
denial,Covid 19 Pandemic Self Isolation Journal Day 1 10 30AM Mild panic sets in as to paraphrase H Simpson all we have in the house is the food we need to make food,Extremely Negative
"Baltimore, MD","Clothier @LandsEnd has closed all of its retail stores through March 29th due to coronavirus pandemic.   They will pay all of their employees during the time period.

This is their store at the Hunt Valley Towne Center.  #HuntValley #coronavirus https://t.co/DIwNzAOLeb",Negative
Philippines,"There will be no trading and clearing and settlement at the PSE/SCCP tomorrow, March 17, 2020, until further notice, due to the enhanced community quarantine implemented in Luzon. https://t.co/V7zUiTMCiR",Negative
Soweto,"The retail store owners right now
#CoronaVirusSA #Covid_19 https://t.co/yPcOWXV432",Neutral
United States,"Just came back from the grocery store. Found milk but all the eggs were gone. Coronavirus is real y'all. 

#coronapocolypse #CoronavirusOutbreak #COVID2019",Neutral
,"LVMH converting perfume factories to make hand sanitizer
What Retail leaders say about Covid-19
Ikea's eCommerce strategy
America's retailers start crowd control
Ulta Beauty stops store beauty services
#ecommerce #retail #dtc #coronapocalypse #covid19
https://t.co/rAfJ2l2cEQ https://t.co/wFRPxc3Qfi",Extremely Positive
"Sarawak, Malaysia","My dad's holidays postponed and need to be quarantined for 14 days at Dubai Hospital, for his safety. Our classes are postponed until 29th and we're using e-learning for classes. People panic buying foods and drinks at supermarket. This is so frustating! ?? 
#Covid_19",Negative
,"Quarantine sucks as it leads to insure amount of online shopping ????
#coronavirus #shopping #QuarantineLife https://t.co/5Fu5xXZeaV",Negative
"Altus, Arkansas USA","Response to COVID-19 (Novel Coronavirus)

Post Winerys retail store, including The Trellis Room, will be CLOSED to the public Monday, March 16. Further closure or limited hours will be announced the following week, Mon.Mar.23rd. POST Wine available at local stores. Be well? https://t.co/e9WSaIP3mf",Positive
,"Got contacted by my work saying I'll be out of work for a while due to this COVID-19 (coronavirus) outbreak. 
PayPal or Beemit me to support my online shopping addiction n also to pay for my groceries (wherever I can find them bc all the shelfs in supermarkets are empty)
???",Positive
"Patna, India","Stockup on compassion &amp; love
Not tissue papers 

#Covid19 #coronaoutbreak #falsepanic #coronavirus #worldshutdown",Extremely Positive
